,gmkey,ast,twop,threep,freep,offr,ppp,dk,defr,stl,bs,foul,tf,gd,score
21,S17G01N118,0.5639097744360902,0.4771573604060914,0.3679245283018868,0.7922077922077921,0.3795620437956205,0.5220588235294118,1.0,0.6573426573426573,0.41935483870967744,0.01941747572815534,0.5170940170940171,0.0,0.625,75
22,S17G01N119,0.5034965034965034,0.5603864734299517,0.3068181818181818,0.6483516483516484,0.23076923076923075,0.6304347826086956,1.0,0.709090909090909,0.5192307692307693,0.028846153846153848,0.5172413793103449,0.0,0.6363636363636362,76
23,S17G01N12,0.5314685314685315,0.5384615384615384,0.37349397590361444,0.76,0.2585034013605442,0.5971223021582734,1.0,0.7666666666666667,0.46875,0.04615384615384615,0.45145631067961167,0.25,0.5555555555555556,69
24,S17G01N120,0.6614173228346457,0.5099009900990099,0.34285714285714286,0.7295081967213115,0.2846153846153846,0.5696202531645569,1.0,0.6778523489932886,0.625,0.07260726072607261,0.44000000000000006,0.25,0.6153846153846154,78
25,S17G01N121,0.6762589928057554,0.5631578947368421,0.36363636363636365,0.7133757961783439,0.33333333333333337,0.6642335766423357,1.0,0.7631578947368421,0.45070422535211274,0.0627177700348432,0.5138888888888888,0.5,0.6,77
26,S17G01N122,0.6209150326797386,0.5971563981042654,0.38571428571428573,0.6352941176470589,0.20312500000000003,0.6793893129770993,0.9375,0.7243589743589743,0.509090909090909,0.06944444444444445,0.4459459459459459,1.0,0.19999999999999998,75
27,S17G01N123,0.5751633986928105,0.5751295336787564,0.42424242424242425,0.7999999999999999,0.2482758620689655,0.6164383561643836,1.0,0.7549668874172185,0.5555555555555556,0.05479452054794521,0.48936170212765956,0.5,0.5454545454545454,73
28,S17G01N124,0.4761904761904762,0.5201793721973094,0.37804878048780494,0.7875,0.36054421768707484,0.5602836879432624,1.0,0.7702702702702703,0.38095238095238093,0.04482758620689655,0.48584905660377353,0.3333333333333333,0.4,73
29,S17G01N125,0.6554054054054054,0.5699481865284974,0.39999999999999997,0.7703703703703704,0.3241379310344828,0.6506849315068494,0.923076923076923,0.7588652482269503,0.4492753623188406,0.06545454545454546,0.5495049504950495,0.6,0.4,89
30,S17G01N126,0.5037593984962406,0.4869109947643979,0.37037037037037035,0.7706422018348624,0.2727272727272727,0.5354330708661418,0.8571428571428572,0.7499999999999999,0.546875,0.025454545454545452,0.5288461538461539,0.8333333333333334,0.7272727272727273,99
